Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,0.000000,0.961368,0.953024,0.576946,0.957178,371871,357505,14366,886457,357402,17617,511438,6492,6340,.,1.519032,.,0.557312,.,1.56084,.,5.237166,.,.,1.996044,1.570013,.,2.321398
INDEL,*,*,PASS,*,QUAL,1.930000,0.938793,0.955206,0.569748,0.946929,371871,349110,22761,845189,347355,16289,481545,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,3.310000,0.938793,0.955206,0.569748,0.946929,371871,349110,22761,845188,347355,16289,481544,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,4.340000,0.938793,0.955206,0.569746,0.946929,371871,349110,22761,845185,347355,16289,481541,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,5.180000,0.938793,0.955206,0.569745,0.946929,371871,349110,22761,845183,347355,16289,481539,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,6.150000,0.938793,0.955206,0.569745,0.946929,371871,349110,22761,845182,347355,16289,481538,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,7.290000,0.938793,0.955206,0.569744,0.946929,371871,349110,22761,845181,347355,16289,481537,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,18.230000,0.938793,0.955206,0.569744,0.946929,371871,349110,22761,845180,347355,16289,481536,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,19.920000,0.938793,0.955206,0.569743,0.946929,371871,349110,22761,845179,347355,16289,481535,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,21.680000,0.938793,0.955209,0.569743,0.94693,371871,349110,22761,845177,347355,16288,481534,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,23.030001,0.938793,0.955209,0.569742,0.94693,371871,349110,22761,845175,347355,16288,481532,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,23.730000,0.938793,0.955209,0.569742,0.94693,371871,349110,22761,845175,347355,16288,481532,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,24.879999,0.938793,0.955209,0.569742,0.94693,371871,349110,22761,845175,347355,16288,481532,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,25.670000,0.938793,0.955209,0.569741,0.94693,371871,349110,22761,845173,347355,16288,481530,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,26.230000,0.938793,0.955209,0.56974,0.94693,371871,349110,22761,845171,347355,16288,481528,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,26.780001,0.938793,0.955209,0.56974,0.94693,371871,349110,22761,845170,347355,16288,481527,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,28.469999,0.938793,0.955209,0.569739,0.94693,371871,349110,22761,845168,347355,16288,481525,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,29.590000,0.938793,0.955211,0.569739,0.946931,371871,349110,22761,845167,347355,16287,481525,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,30.129999,0.938793,0.955211,0.569739,0.946931,371871,349110,22761,845166,347355,16287,481524,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,30.760000,0.938793,0.955211,0.569738,0.946931,371871,349110,22761,845164,347355,16287,481522,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,31.280001,0.938793,0.955211,0.569736,0.946931,371871,349110,22761,845161,347355,16287,481519,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,32.389999,0.938793,0.955211,0.569735,0.946931,371871,349110,22761,845159,347355,16287,481517,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,32.950001,0.938793,0.955211,0.569734,0.946931,371871,349110,22761,845156,347355,16287,481514,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,33.459999,0.938793,0.955217,0.569733,0.946934,371871,349110,22761,845149,347355,16285,481509,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,34.180000,0.938793,0.955217,0.569731,0.946934,371871,349110,22761,845146,347355,16285,481506,6468,5556,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,34.730000,0.938793,0.955219,0.569731,0.946935,371871,349110,22761,845143,347355,16284,481504,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,35.299999,0.938793,0.955219,0.569729,0.946935,371871,349110,22761,845140,347355,16284,481501,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,35.820000,0.938793,0.955219,0.569728,0.946935,371871,349110,22761,845137,347355,16284,481498,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,36.419998,0.938793,0.955219,0.569725,0.946935,371871,349110,22761,845132,347355,16284,481493,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,37.049999,0.938793,0.955219,0.569724,0.946935,371871,349110,22761,845129,347355,16284,481490,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,37.590000,0.938793,0.955219,0.569722,0.946935,371871,349110,22761,845125,347355,16284,481486,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,38.099998,0.938793,0.955219,0.56972,0.946935,371871,349110,22761,845121,347355,16284,481482,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,38.680000,0.938793,0.955222,0.569715,0.946936,371871,349110,22761,845109,347355,16283,481471,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,39.189999,0.938793,0.955225,0.569711,0.946938,371871,349110,22761,845099,347355,16282,481462,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,39.810001,0.938793,0.95523,0.56971,0.94694,371871,349110,22761,845092,347355,16280,481457,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,40.330002,0.938791,0.95523,0.569709,0.946939,371871,349109,22762,845088,347354,16280,481454,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,40.860001,0.938791,0.95523,0.569705,0.946939,371871,349109,22762,845081,347354,16280,481447,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,41.380001,0.938788,0.955232,0.569703,0.946939,371871,349108,22763,845073,347353,16279,481441,6468,5555,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,41.889999,0.938788,0.955232,0.569698,0.946939,371871,349108,22763,845063,347353,16279,481431,6468,5555,.,,.,,.,,.,,.,.,,,.,
