Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,PASS,*,QUAL,0.000000,0.995763,0.990312,0.192503,0.99303,3191551,3178027,13524,3978354,3181385,31124,765845,1062,1553,2.112061,1.527949,2.344129,4.791774,2.111142,1.521902,1.312519,30.841026,2.108746,1.99066,1.678862,1.5224,1.610274,2.43811
SNP,*,*,PASS,*,QUAL,3.490000,0.995585,0.990371,0.191444,0.992971,3191551,3177459,14092,3971392,3180173,30921,760298,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,4.120000,0.995585,0.990371,0.191444,0.992971,3191551,3177459,14092,3971390,3180173,30920,760297,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,4.830000,0.995585,0.990371,0.191443,0.992971,3191551,3177459,14092,3971386,3180173,30920,760293,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,5.600000,0.995585,0.990371,0.191442,0.992971,3191551,3177459,14092,3971384,3180173,30920,760291,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,6.480000,0.995585,0.990371,0.191442,0.992971,3191551,3177459,14092,3971381,3180173,30919,760289,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,7.040000,0.995585,0.990371,0.191442,0.992971,3191551,3177459,14092,3971380,3180173,30919,760288,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,7.570000,0.995585,0.990371,0.191442,0.992971,3191551,3177459,14092,3971379,3180173,30919,760287,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,8.290000,0.995585,0.990371,0.191442,0.992971,3191551,3177459,14092,3971379,3180173,30919,760287,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,8.830000,0.995585,0.990371,0.191441,0.992971,3191551,3177459,14092,3971378,3180173,30919,760286,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,10.190000,0.995585,0.990371,0.191441,0.992971,3191551,3177459,14092,3971377,3180173,30919,760285,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,10.860000,0.995585,0.990371,0.191441,0.992971,3191551,3177459,14092,3971376,3180173,30919,760284,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,11.600000,0.995585,0.990371,0.191441,0.992971,3191551,3177459,14092,3971376,3180173,30919,760284,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,12.150000,0.995585,0.990371,0.191441,0.992971,3191551,3177459,14092,3971375,3180173,30919,760283,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,13.070000,0.995585,0.990371,0.19144,0.992971,3191551,3177459,14092,3971373,3180173,30919,760281,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,13.600000,0.995585,0.990371,0.19144,0.992971,3191551,3177459,14092,3971373,3180173,30919,760281,1032,1473,,,,,,,,,,,,,,
SNP,*,*,PASS,*,QUAL,14.200000,0.995585,0.990371,0.19144,0.992971,3191551,3177459,14092,3971373,3180173,30919,760281,1032,1473,,,,,,,,,,,,,,
