Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,0.000000,0.803663,0.643925,0.520028,0.71498,371871,298859,73012,981596,303378,167761,510457,2356,157784,.,1.519032,.,2.940455,.,1.342759,.,2.52138,.,.,1.462739,1.419731,.,1.258592
INDEL,*,*,PASS,*,QUAL,3.010000,0.803663,0.643924,0.520028,0.71498,371871,298859,73012,981595,303377,167761,510457,2356,157784,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,3.520000,0.80209,0.644312,0.519822,0.714595,371871,298274,73597,978268,302661,167082,508525,2356,157139,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,4.030000,0.800191,0.644597,0.519625,0.714016,371871,297568,74303,974697,301813,166407,506477,2356,156504,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,4.540000,0.798175,0.644702,0.519369,0.713276,371871,296818,75053,971118,300914,165835,504369,2334,155976,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,5.050000,0.796222,0.645203,0.518544,0.712802,371871,296092,75779,965963,300064,165005,500894,2302,155216,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,5.560000,0.795582,0.645608,0.518082,0.712792,371871,295854,76017,963481,299768,164551,499162,2272,154827,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,6.070000,0.793367,0.646006,0.517396,0.712143,371871,295030,76841,958370,298786,163727,495857,2241,154063,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,6.580000,0.791094,0.64629,0.51657,0.711398,371871,294185,77686,952992,297749,162956,492287,2221,153358,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,7.090000,0.790648,0.646691,0.51614,0.71146,371871,294019,77852,950925,297552,162563,490810,2204,153005,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,7.600000,0.788591,0.647011,0.515561,0.71082,371871,293254,78617,946360,296625,161829,487906,2180,152323,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,8.100000,0.787485,0.647398,0.514737,0.710603,371871,292843,79028,942634,296136,161289,485209,2160,151829,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,8.610000,0.786235,0.64768,0.514492,0.710263,371871,292378,79493,940012,295590,160793,483629,2146,151373,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,9.120000,0.784148,0.647873,0.513865,0.709526,371871,291602,80269,935610,294674,160159,480777,2131,150785,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,9.630000,0.783815,0.648212,0.51348,0.709593,371871,291478,80393,933908,294525,159840,479543,2121,150508,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10.140000,0.781828,0.648405,0.512844,0.708893,371871,290739,81132,929645,293651,159231,476763,2104,149935,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,10.650000,0.781365,0.648761,0.512374,0.708915,371871,290567,81304,927604,293450,158874,475280,2085,149619,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,11.160000,0.779571,0.648877,0.511989,0.708246,371871,289900,81971,924122,292632,158350,473140,2065,149138,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,11.670000,0.778533,0.649158,0.511163,0.707984,371871,289514,82357,920715,292173,157907,470635,2055,148734,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,12.180000,0.777428,0.649429,0.510991,0.707687,371871,289103,82768,918478,291687,157457,469334,2037,148321,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,12.690000,0.775686,0.649615,0.510193,0.707075,371871,288455,83416,914248,290901,156904,466443,2029,147807,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,13.200000,0.775532,0.649955,0.50991,0.707213,371871,288398,83473,913023,290831,156632,465560,2002,147578,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,13.710000,0.773749,0.65012,0.509204,0.706568,371871,287735,84136,908936,290020,156082,462834,1998,147057,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,14.220000,0.773607,0.650475,0.508943,0.706718,371871,287682,84189,907772,289961,155807,462004,1982,146812,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,14.730000,0.771789,0.650511,0.508286,0.705979,371871,287006,84865,903900,289126,155334,459440,1969,146377,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,15.240000,0.771614,0.65088,0.507954,0.706123,371871,286941,84930,902515,289042,155037,458436,1951,146111,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,15.750000,0.769735,0.650912,0.50721,0.705354,371871,286242,85629,898463,288194,154560,455709,1937,145679,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,16.260000,0.769549,0.651257,0.506883,0.705479,371871,286173,85698,897094,288098,154274,454722,1923,145418,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,16.770000,0.76789,0.651301,0.506258,0.704807,371871,285556,86315,893643,287373,153856,452414,1908,145031,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,17.280001,0.767629,0.651653,0.505866,0.704902,371871,285459,86412,892092,287257,153556,451279,1898,144756,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,17.790001,0.766123,0.651721,0.505305,0.704307,371871,284899,86972,888912,286588,153152,449172,1887,144381,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,18.299999,0.765787,0.652084,0.504874,0.704376,371871,284774,87097,887182,286439,152828,447915,1868,144096,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,18.809999,0.764338,0.652187,0.504104,0.703823,371871,284235,87636,883696,285802,152419,445475,1852,143728,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,19.320000,0.763886,0.652479,0.503679,0.703801,371871,284067,87804,881920,285600,152115,444205,1844,143445,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,19.830000,0.762746,0.652689,0.503195,0.703439,371871,283643,88228,879170,285079,151697,442394,1829,143058,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,20.340000,0.762176,0.652901,0.502682,0.703319,371871,283431,88440,877195,284825,151420,440950,1818,142803,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,20.850000,0.7611,0.653084,0.502232,0.702967,371871,283031,88840,874708,284354,151048,439306,1799,142466,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,21.360001,0.76043,0.653344,0.5015,0.702832,371871,282782,89089,872171,284059,150718,437394,1792,142163,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,21.870001,0.759535,0.653591,0.501133,0.702592,371871,282449,89422,869958,283654,150339,435965,1781,141814,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,22.379999,0.758613,0.65379,0.500341,0.702312,371871,282106,89765,867072,283248,149992,433832,1775,141483,.,,.,,.,,.,,.,.,,,.,
INDEL,*,*,PASS,*,QUAL,22.889999,0.758037,0.654069,0.500115,0.702226,371871,281892,89979,865465,282972,149661,432832,1763,141176,.,,.,,.,,.,,.,.,,,.,
