Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,PASS,*,QUAL,0.000000,0.967868,0.989402,0.213912,0.978516,3191551,3089000,102551,3972452,3089602,33095,849755,933,1944,2.112061,1.527949,1.929649,1.655882,2.118507,1.523912,1.267917,19.451114,2.118113,2.004147,1.706408,1.523864,1.681906,2.512424
SNP,*,*,PASS,*,QUAL,3.010000,0.967868,0.989402,0.213912,0.978516,3191551,3089000,102551,3972451,3089602,33095,849754,933,1944,2.112061,,1.929649,,2.118507,,1.268004,,2.118113,2.004147,,,1.681903,
SNP,*,*,PASS,*,QUAL,3.520000,0.967859,0.989507,0.213433,0.978564,3191551,3088972,102579,3969558,3089561,32761,847236,933,1916,2.112061,,1.929779,,2.118504,,1.267247,,2.11811,2.004572,,,1.682384,
SNP,*,*,PASS,*,QUAL,4.030000,0.967852,0.9896,0.213013,0.978605,3191551,3088949,102602,3967023,3089524,32470,845029,931,1887,2.112061,,1.929683,,2.118509,,1.266244,,2.118123,2.004953,,,1.682811,
SNP,*,*,PASS,*,QUAL,4.540000,0.967844,0.9897,0.212498,0.97865,3191551,3088924,102627,3963973,3089483,32153,842337,930,1868,2.112061,,1.929978,,2.118499,,1.268019,,2.118116,2.005554,,,1.683781,
SNP,*,*,PASS,*,QUAL,5.050000,0.967836,0.989789,0.211902,0.97869,3191551,3088899,102652,3960556,3089435,31872,839249,929,1842,2.112061,,1.930023,,2.118499,,1.266586,,2.118121,2.00619,,,1.684922,
SNP,*,*,PASS,*,QUAL,5.560000,0.967823,0.989875,0.2115,0.978725,3191551,3088856,102695,3958119,3089379,31599,837141,928,1826,2.112061,,1.930246,,2.118494,,1.265631,,2.118115,2.006531,,,1.685303,
SNP,*,*,PASS,*,QUAL,6.070000,0.967814,0.98995,0.211027,0.978757,3191551,3088827,102724,3955380,3089328,31362,834690,928,1803,2.112061,,1.930154,,2.118499,,1.264551,,2.118133,2.007102,,,1.686411,
SNP,*,*,PASS,*,QUAL,6.580000,0.967804,0.990017,0.210568,0.978785,3191551,3088795,102756,3952746,3089276,31150,832320,927,1777,2.112061,,1.930064,,2.118504,,1.266662,,2.11814,2.007687,,,1.687486,
SNP,*,*,PASS,*,QUAL,7.090000,0.967796,0.990088,0.210245,0.978815,3191551,3088769,102782,3950796,3089235,30927,830634,926,1765,2.112061,,1.930221,,2.1185,,1.266525,,2.118136,2.007975,,,1.687807,
